Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS▼,OPS+,rOBA,Rbat+,TB,HBP,SH,Pos,Awards,Player-additional
137,Johnny Rawlings,27,2TM,NL,-0.4,103,436,387,39,90,19,2,3,32,9,6,22,26,.233,.276,.315,.591,67,.287,61,122,1,26,4/H,,rawlijo01
138,Charlie Deal,28,CHC,NL,0.5,129,512,450,48,108,10,5,3,39,5,8,20,14,.240,.285,.304,.589,68,.282,66,137,8,34,*5/H,,dealch01
139,Babe Pinelli,24,DET,AL,-0.2,102,332,284,31,65,9,3,0,21,6,8,25,16,.229,.296,.282,.578,55,.278,53,80,2,20,56H/4,,pinelba01
140,George Brown,34,DM,NNL,-0.2,42,187,171,20,42,2,2,0,7,11,,9,,.246,.295,.281,.576,72,.294,72,48,3,4,*8/9735,,brownge02
141,Vicente Rodríguez,28,KCM,NNL,-0.1,62,223,202,25,49,3,1,1,20,2,,14,,.243,.292,.282,.574,71,.283,71,57,0,7,*2,,rodrivi02
142,José Méndez,35,KCM,NNL,-0.1,63,253,204,23,43,6,1,0,17,5,,32,,.211,.324,.250,.574,71,.296,79,51,2,15,64/15389,,mendejo99
143,Joe Hewitt*,34,DS,NNL,1.4,54,240,189,34,38,5,1,0,9,9,,33,,.201,.332,.238,.570,70,.303,80,45,4,14,645/9,,hewitjo01
144,Tullie McAdoo,35,SLG,NNL,-0.2,65,262,214,30,46,6,0,0,18,4,,22,,.215,.320,.243,.563,68,.291,76,52,11,15,*3,,mcadotu01
145,Judy Gans*,33,CAG,NNL,0.4,62,236,202,24,42,4,4,0,29,4,,23,,.208,.295,.267,.562,68,.283,71,54,2,9,*798/3,,gansju01
146,Charlie Grimm*,21,PIT,NL,-0.7,148,581,533,38,121,13,7,2,54,7,8,30,40,.227,.273,.289,.562,60,.269,55,154,4,14,*3,,grimmch01
147,Leroy Grant,31,CAG,NNL,-0.3,60,229,197,24,42,4,2,1,29,4,,18,,.213,.292,.269,.561,67,.282,70,53,4,10,*3/5,,grantle01
148,David Wingfield,26,DM,NNL,-0.4,42,183,171,20,42,3,0,1,15,4,,7,,.246,.275,.281,.556,66,.272,64,48,0,5,47/2159,,wingfda01
149,Ivy Griffin*,23,PHA,AL,-2.4,129,508,467,46,111,15,1,0,20,3,3,17,49,.238,.281,.274,.555,47,.269,42,128,11,13,*3/4H,,griffiv01
150,Matías Ríos,25,CSW,NNL,0.8,61,261,223,36,47,2,1,1,17,3,,30,,.211,.310,.242,.552,65,.283,72,54,2,6,*6/5,,riosma01
151,Bobby Williams,24,CAG,NNL,0.3,60,237,208,22,44,6,1,0,26,8,,19,,.212,.281,.250,.531,58,.271,60,52,1,9,*6/2,,willibo02
152,Connie Day,22,ABC,NNL,-0.2,95,369,325,28,64,4,5,2,31,2,,27,,.197,.263,.258,.521,55,.259,56,84,2,15,45/6,,dayco01
153,Eufemio Abreu,19,CSW,NNL,-0.7,61,240,211,16,39,3,3,0,19,2,,18,,.185,.252,.227,.480,43,.241,44,48,1,10,*2,,abreueu01
154,Namon Washington,26,ABC,NNL,-0.8,49,212,191,22,38,2,1,0,15,7,,13,,.199,.254,.220,.474,41,.242,42,42,1,7,7/2589,,washina01
155,Jim Jeffries*,27,ABC,NNL,-1.0,62,208,172,19,29,2,0,0,10,4,,27,,.169,.285,.180,.465,39,.250,49,31,1,8,91/785,,jeffrji01
156,Eddie Holtz,20,SLG,NNL,-0.8,55,200,177,15,31,0,0,0,9,1,,13,,.175,.240,.175,.415,24,.215,27,31,2,8,*6/5,,holtzed01
